"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"33","Philip Rivers",2010,0.943814679561031,0.223852985342239,91.6,591,0.92724274767162,0.157424319585473,79.1866666666667,9774
"34","Aaron Rodgers",2013,0.942424473293222,0.281729698249041,85.8,360,0.979421840847449,0.206469976661852,86.52,10172
"35","Josh Allen",2020,0.942297697319971,0.23397069750421,90.3,767,0.946423853288916,0.156640114019134,82.4166666666667,4612
"36","Brett Favre",2009,0.939148679320446,0.223577980915912,90.6,641,0.704416355779647,0.0705248924712061,68.64,3003
"37","Peyton Manning",2008,0.937898311954819,0.225007656596945,90.2,616,0.980790148603706,0.213948006350295,86.4,6258
"38","Aaron Rodgers",2021,0.9354226483761,0.228049637192908,89.4,612,0.979421840847449,0.206469976661852,86.52,10172
"39","Tony Romo",2014,0.934191512610082,0.286598761778011,83.6,535,0.9019842635939,0.142482734941751,77.2777777777778,5164
"40","Deshaun Watson",2020,0.933945968259868,0.192211643118757,92.5,656,0.857907969953974,0.124294410157809,74.4666666666667,2949
"41","Josh Allen",2021,0.933093744027296,0.207298106677607,90.9,793,0.946423853288916,0.156640114019134,82.4166666666667,4612
"42","Dak Prescott",2023,0.93285556247882,0.216293647029493,90,731,0.925453073832294,0.145626442334069,80.025,5056
"43","Aaron Rodgers",2012,0.929934001254486,0.220855210335978,89,720,0.979421840847449,0.206469976661852,86.52,10172
"44","Josh Allen",2023,0.928218826497093,0.184734567662406,92.1,732,0.946423853288916,0.156640114019134,82.4166666666667,4612
"45","Ben Roethlisberger",2015,0.927517574940827,0.200227589004403,90.5,567,0.886365529875877,0.120526478223328,77.5866666666667,9818
"46","Matt Ryan",2012,0.927420380464421,0.224294955359753,88.2,743,0.90969677727642,0.122401377083703,80.08,10221
"47","Carson Palmer",2015,0.92303478801948,0.236977524383481,86.2,656,0.758334163013797,0.0784400592694364,71.2272727272727,6249
"48","Ryan Tannehill",2019,0.922834334727822,0.194413824619877,90.2,405,0.783406927889891,0.0609460210745721,74.5363636363636,5927
"49","Tom Brady",2021,0.922678681327177,0.178302124378536,91.7,849,0.978920646973251,0.20390075749234,86.55625,12503
"50","Philip Rivers",2018,0.922364173523455,0.207246771959507,88.9,632,0.92724274767162,0.157424319585473,79.1866666666667,9774
"51","Tom Brady",2018,0.921732522578042,0.187088677935595,90.7,723,0.978920646973251,0.20390075749234,86.55625,12503
"52","Peyton Manning",2010,0.920893017920671,0.189758931456765,90.3,723,0.980790148603706,0.213948006350295,86.4,6258
"53","Drew Brees",2019,0.920680522146999,0.184095430049223,90.8,427,0.972591129618359,0.184613509396664,86.0866666666667,10373
"54","Josh Allen",2022,0.919927633870047,0.172172968502468,91.8,754,0.946423853288916,0.156640114019134,82.4166666666667,4612
"55","Tom Brady",2010,0.919879676999831,0.23325836839427,86,572,0.978920646973251,0.20390075749234,86.55625,12503
"56","Russell Wilson",2018,0.918562011757443,0.20028920467507,88.9,538,0.922127540654702,0.121056387871782,81.8416666666667,7996
"57","Carson Wentz",2017,0.915628714552068,0.237275298703429,84.9,502,0.74714103754091,0.0575081586856344,72.4571428571429,4097
"58","Tom Brady",2015,0.915068821999524,0.16457818011957,91.7,774,0.978920646973251,0.20390075749234,86.55625,12503
"59","Aaron Rodgers",2009,0.914606566152982,0.223892816166695,86,673,0.979421840847449,0.206469976661852,86.52,10172
"60","Justin Herbert",2021,0.91380093345974,0.180312422438228,90,740,0.927227190993511,0.112953702593831,83.325,2917
"61","Matthew Stafford",2021,0.912930416173536,0.219952198921461,86.1,793,0.82311958418657,0.085109677812881,75.2,9152
"62","Joe Burrow",2022,0.910838356510299,0.154180439051584,92,803,0.936107535935461,0.11825674708322,84.2,2601
"63","Dak Prescott",2016,0.91074439378443,0.24156292185908,83.7,555,0.925453073832294,0.145626442334069,80.025,5056
"64","Joe Burrow",2021,0.903436555173304,0.144224725178678,91.8,759,0.936107535935461,0.11825674708322,84.2,2601
"65","Andy Dalton",2015,0.903404377146969,0.264409746150064,80.4,433,0.697119575209362,0.0386297583160842,71.1833333333333,6646
"66","Eli Manning",2011,0.899242046469038,0.184094148061645,87.4,803,0.700463146908007,0.0488281281679768,70.4285714285714,8724
"67","Drew Brees",2017,0.898074861217101,0.162271122889014,89.3,638,0.972591129618359,0.184613509396664,86.0866666666667,10373
"68","Ben Roethlisberger",2017,0.896567088250702,0.189520443038519,86.5,654,0.886365529875877,0.120526478223328,77.5866666666667,9818
"69","Russell Wilson",2019,0.896490355163894,0.132451065454221,91.9,690,0.922127540654702,0.121056387871782,81.8416666666667,7996
"70","Nick Foles",2013,0.895391979933709,0.274243884247582,78.3,397,0.570969611735699,0.00145335771313934,67.8,2677
"71","Jalen Hurts",2022,0.895366594755587,0.169790541088833,88.2,637,0.870937920411379,0.109597704799428,77.05,2512
"72","Tom Brady",2014,0.894766338594278,0.198427783324221,85.4,753,0.978920646973251,0.20390075749234,86.55625,12503
"73","Ben Roethlisberger",2014,0.891450805723875,0.183005847900784,86.4,701,0.886365529875877,0.120526478223328,77.5866666666667,9818
"74","Tony Romo",2007,0.889157101602369,0.219774382573187,82.6,601,0.9019842635939,0.142482734941751,77.2777777777778,5164
"75","Robert Griffin",2012,0.888649679321097,0.231705170154771,81.4,488,0.562746445604085,0.0471065347368894,63.125,1766
"76","Matt Ryan",2018,0.888449983384621,0.200833908062646,84.3,668,0.90969677727642,0.122401377083703,80.08,10221
"77","Philip Rivers",2008,0.888330323333855,0.233359097272888,81.2,595,0.92724274767162,0.157424319585473,79.1866666666667,9774
"78","Tua Tagovailoa",2022,0.888325502552227,0.225969319191752,81.9,432,0.855110358784854,0.109159557576936,75.625,1963
